,player_id,team_id,fixture_id,minutes,position,rating,goals,passes,tackles,duels,dribbles
263,18817,48,710562,90.0,D,6.9,,50.0,2.0,5.0,
264,18813,48,710562,90.0,D,7.9,1.0,64.0,4.0,6.0,1.0
265,2937,48,710562,90.0,M,7.5,,51.0,1.0,9.0,3.0
266,1243,48,710562,90.0,M,7.6,1.0,38.0,5.0,17.0,1.0
267,19428,48,710562,89.0,M,7.2,,17.0,2.0,7.0,3.0
268,19361,48,710562,88.0,M,7.9,1.0,31.0,1.0,6.0,1.0
269,1697,48,710562,90.0,M,7.3,,61.0,4.0,18.0,2.0
270,18819,48,710562,89.0,F,7.5,1.0,24.0,,8.0,3.0
271,253,48,710562,,G,,,,,,
272,18814,48,710562,,D,,,,,,
273,18815,48,710562,2.0,D,,,1.0,,,
274,18823,48,710562,1.0,D,,,1.0,,1.0,1.0
275,171059,48,710562,,D,,,,,,
276,2473,48,710562,,M,,,,,,
277,18820,48,710562,,M,,,,,,
278,18826,48,710562,,M,,,,,,
279,18834,48,710562,1.0,F,,,6.0,,,
280,19061,71,710563,90.0,G,6.3,,40.0,,,
281,19070,71,710563,90.0,D,7.7,,54.0,2.0,14.0,3.0
282,19066,71,710563,90.0,D,6.7,,53.0,1.0,6.0,
283,18914,71,710563,90.0,D,6.6,,77.0,,3.0,1.0
284,2360,71,710563,90.0,D,6.9,,56.0,3.0,12.0,5.0
285,22170,71,710563,90.0,M,7.9,,47.0,3.0,6.0,1.0
286,130423,71,710563,90.0,M,6.6,,76.0,1.0,7.0,2.0
287,720,71,710563,90.0,M,6.9,,44.0,2.0,8.0,1.0
288,19072,71,710563,86.0,F,7.3,,29.0,5.0,15.0,1.0
289,19085,71,710563,77.0,F,6.7,,13.0,1.0,7.0,
290,25324,71,710563,77.0,F,6.3,,17.0,,9.0,4.0
291,18933,71,710563,,G,,,,,,
292,19069,71,710563,,D,,,,,,
293,19894,71,710563,,D,,,,,,
294,19100,71,710563,4.0,M,,,5.0,,,
295,19077,71,710563,,M,,,,,,
296,15832,71,710563,,M,,,,,,
297,130417,71,710563,13.0,F,6.6,,4.0,,1.0,
298,25332,71,710563,13.0,F,6.9,,5.0,1.0,3.0,
299,161800,71,710563,,F,,,,,,
300,280,40,710563,90.0,G,7.3,,27.0,,1.0,
301,283,40,710563,90.0,D,6.9,,35.0,1.0,11.0,3.0
302,286,40,710563,90.0,D,7.3,,74.0,,3.0,
303,290,40,710563,90.0,D,7.7,,89.0,,4.0,
304,1600,40,710563,90.0,D,6.9,,46.0,3.0,15.0,5.0
305,297,40,710563,61.0,M,6.6,,21.0,,4.0,
306,296,40,710563,90.0,M,7.3,,70.0,3.0,8.0,
307,294,40,710563,83.0,M,7.2,,43.0,6.0,11.0,1.0
308,306,40,710563,90.0,F,8.6,1.0,24.0,,7.0,3.0
309,2678,40,710563,61.0,F,6.6,1.0,12.0,1.0,9.0,4.0
310,304,40,710563,90.0,F,7.3,,31.0,1.0,12.0,2.0
311,281,40,710563,,G,,,,,,
312,284,40,710563,,D,,,,,,
313,1145,40,710563,,D,,,,,,
314,1101,40,710563,,F,,,,,,
315,299,40,710563,29.0,M,6.9,,22.0,,,
316,302,40,710563,29.0,F,7.6,1.0,12.0,1.0,6.0,2.0
317,305,40,710563,,F,,,,,,
318,301,40,710563,,M,,,,,,
319,19035,40,710563,9.0,M,6.3,,6.0,,,
320,159,47,710564,90.0,G,7.6,,24.0,,1.0,
321,149550,47,710564,83.0,D,6.9,,20.0,2.0,11.0,1.0
322,168,47,710564,90.0,D,7.5,,31.0,4.0,8.0,
323,175,47,710564,90.0,D,6.9,,24.0,,1.0,
324,739,47,710564,90.0,D,7.2,,13.0,,5.0,
325,2735,47,710564,89.0,M,6.6,,40.0,2.0,11.0,3.0
326,180,47,710564,90.0,M,6.7,,27.0,2.0,11.0,
327,172,47,710564,90.0,M,6.3,,22.0,3.0,17.0,1.0
328,178,47,710564,90.0,F,7.3,,36.0,1.0,29.0,10.0
329,186,47,710564,90.0,F,7.6,1.0,28.0,,12.0,1.0
330,244,47,710564,77.0,F,6.6,,15.0,,3.0,1.0
331,30418,47,710564,,G,,,,,,
332,18742,47,710564,13.0,D,6.6,,3.0,,1.0,1.0
333,164,47,710564,,D,,,,,,
334,30776,47,710564,1.0,D,,,2.0,,2.0,
335,182,47,710564,,M,,,,,,
336,1578,47,710564,13.0,M,6.7,,8.0,1.0,5.0,1.0
337,179,47,710564,,M,,,,,,
338,2061,47,710564,,F,,,,,,
339,162552,47,710564,,F,,,,,,
340,617,50,710564,90.0,G,6.3,,15.0,,1.0,
341,855,50,710564,90.0,D,7.9,,65.0,1.0,9.0,3.0
342,567,50,710564,90.0,D,6.9,,59.0,,4.0,
343,18861,50,710564,90.0,D,7.2,,65.0,1.0,7.0,
344,623,50,710564,79.0,D,6.3,,77.0,2.0,14.0,3.0
345,633,50,710564,90.0,M,7.2,,43.0,2.0,10.0,4.0
346,640,50,710564,90.0,M,6.3,,64.0,5.0,22.0,
347,19187,50,710564,90.0,M,7.3,,50.0,2.0,16.0,4.0
348,635,50,710564,79.0,F,6.6,,29.0,1.0,5.0,2.0
349,931,50,710564,90.0,F,6.6,,19.0,1.0,6.0,1.0
350,645,50,710564,70.0,F,6.3,,30.0,,13.0,6.0
351,50828,50,710564,,G,,,,,,
